,Unnamed: 0,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code,24-Hour Security,Air Conditioner,Badminton Court,Balcony,Basketball Court,Bath Tub,Bbq,Bus Stop,Business Centre,Cafe,Clubhouse,Garage,Garden,Gym,Jacuzzi,Jogging Track,Kitchen Cabinet,Nursery,Parking,Playground,Retail Stores,Salon,Sauna,Squash Court,Swimming Pool,Tennis Courts,Wading Pool
6921,8279,13.527829818844937,bangi,selangor,5.0,freehold,unfurnished,7.695757990554761,4.0,2.0,2-sty terrace/link house,341.22,150000.0,0.0022747952684258,26,13,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
6922,8280,13.997832948091215,petaling jaya,selangor,5.0,freehold,partly furnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,545.45,240000.0,0.0022727272727272,189,13,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6923,8281,14.062371417145494,petaling jaya,selangor,6.0,freehold,partly furnished,7.783640596221253,3.0,2.0,2-sty terrace/link house,533.33,213333.3333333333,0.0025,189,13,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6924,8282,13.815511557963774,petaling jaya,selangor,4.0,freehold,unfurnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,454.55,250000.0,0.0018181818181818,189,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6925,8283,13.217675375388819,bandar sri sendayan,negeri sembilan,4.0,freehold,unfurnished,7.7752758464868625,4.0,5.0,2-sty terrace/link house,231.09,137500.0,0.0016806722689075,21,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6926,8284,13.664688831019712,bandar sri sendayan,negeri sembilan,4.0,freehold,unfurnished,7.937731775260109,4.0,2.0,2-sty terrace/link house,307.14,215000.0,0.0014285714285714,21,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6927,8285,13.415034483903348,seremban 2,negeri sembilan,4.0,freehold,fully furnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,304.55,167500.0,0.0018181818181818,228,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6928,8286,13.017005083966255,seremban,negeri sembilan,4.0,freehold,unfurnished,7.576097340623111,3.0,5.0,2-sty terrace/link house,230.77,112500.0,0.002051282051282,227,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929,8288,13.541075028051122,sungai dua,penang,4.0,freehold,unfurnished,7.601402334583733,3.0,2.0,2-sty terrace/link house,380.0,190000.0,0.002,253,7,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6930,8289,13.487007879880162,jalan ipoh,kuala lumpur,4.0,freehold,unfurnished,6.90875477931522,2.0,2.0,2-sty terrace/link house,720.0,180000.0,0.004,93,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
